class_number,grade,Coding,Math,Teamwork,activity,등급
s1348,4.0,4.25,4.5,2.5,4.0,Platinum
s1349,3.5,3.166666666666667,4.0,4.0,3.5,Silver
s135,2.8333333333333335,2.8181818181818183,2.5,3.5,2.8333333333333335,Bronze
s1350,1.5,3.0,0.0,0.0,1.5,Bronze
s1352,3.6818181818181803,3.6875,3.75,3.5,3.6818181818181803,Gold
s1353,2.4285714285714284,2.5833333333333335,0.0,1.5,2.4285714285714284,Bronze
s1354,3.1666666666666665,3.25,0.0,3.0,3.1666666666666665,Bronze
s1355,3.3333333333333335,3.25,0.0,3.5,3.3333333333333335,Bronze
s1356,2.75,3.0,0.0,2.5,2.75,Bronze
s1357,3.3333333333333335,3.25,0.0,3.5,3.3333333333333335,Bronze
s1358,2.7,3.0,2.0,2.5,2.7,Bronze
s1359,3.5,3.5,0.0,3.5,3.5,Bronze
s136,3.3400000000000016,3.6666666666666674,2.6666666666666656,2.5,3.3400000000000016,Silver
s1360,2.227272727272727,2.055555555555556,3.0,3.0,2.227272727272727,Bronze
s1361,3.0,3.25,0.0,2.5,3.0,Bronze
s1362,3.0,3.25,0.0,2.5,3.0,Bronze
s1363,3.6666666666666665,3.75,0.0,3.5,3.6666666666666665,Bronze
s1364,2.5,2.1,2.5,4.5,2.5,Bronze
s1365,4.333333333333333,4.5,0.0,4.0,4.333333333333333,Platinum
s1366,3.0833333333333335,3.0500000000000003,3.0,3.5,3.0833333333333335,Silver
s1367,2.125,2.1666666666666665,1.0,3.0,2.125,Bronze
s1368,4.0,4.25,0.0,3.5,4.0,Bronze
s1369,3.5625,3.75,2.5,3.5,3.5625,Gold
s137,3.9791666666666674,3.9249999999999985,4.333333333333332,4.0,3.9791666666666674,Platinum
s1370,3.25,3.111111111111111,3.25,4.5,3.25,Silver
s1371,2.642857142857143,2.375,3.25,2.5,2.642857142857143,Silver
s1372,3.5625,3.666666666666667,3.0,3.5,3.5625,Gold
s1373,3.409090909090909,3.416666666666667,2.75,4.0,3.409090909090909,Silver
s1374,1.25,0.0,0.0,2.5,1.25,Bronze
s1375,4.5,4.5,0.0,4.5,4.5,Platinum
s1376,2.75,3.0,0.0,2.5,2.75,Bronze
s1377,3.7,3.875,2.5,3.5,3.7,Gold
s1378,2.6,2.625,0.0,2.5,2.6,Bronze
s1379,3.625,3.666666666666666,3.5,3.5,3.625,Gold
s138,2.2749999999999995,2.2647058823529416,2.25,2.5,2.2749999999999995,Bronze
s1380,3.5,3.5,3.5,3.5,3.5,Gold
s1381,3.4545454545454537,3.25,4.25,3.5,3.4545454545454537,Silver
s1382,4.038461538461539,4.1499999999999995,3.75,3.5,4.038461538461539,Gold
s1383,3.1666666666666665,3.75,0.0,2.0,3.1666666666666665,Bronze
s1384,3.0,3.5,0.0,2.0,3.0,Bronze
s1385,3.0,3.5,0.0,2.0,3.0,Bronze
s1386,3.285714285714285,3.3999999999999995,3.5,2.5,3.285714285714285,Silver
s1387,3.727272727272727,3.75,3.75,3.5,3.727272727272727,Gold
s1388,4.142857142857143,4.2,3.5,4.5,4.142857142857143,Platinum
s1389,4.166666666666667,4.0,0.0,4.5,4.166666666666667,Bronze
s139,3.431818181818181,3.25,1.5,4.5,3.431818181818181,Bronze
